Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 964 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 963 và 1|| Thời gian tách : 2022-06-11 10:56:11
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 963 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 962 và 1|| Thời gian tách : 2022-06-11 10:56:16
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 962 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 961 và 1|| Thời gian tách : 2022-06-11 10:56:20
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 961 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 960 và 1|| Thời gian tách : 2022-06-11 11:31:09
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 960 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 959 và 1|| Thời gian tách : 2022-06-11 11:31:11
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 959 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 958 và 1|| Thời gian tách : 2022-06-11 11:31:13
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 958 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 957 và 1|| Thời gian tách : 2022-06-11 11:31:14
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 957 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 956 và 1|| Thời gian tách : 2022-06-11 11:31:17
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 956 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 955 và 1|| Thời gian tách : 2022-06-11 11:31:19
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 955 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 954 và 1|| Thời gian tách : 2022-06-11 11:31:20
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 954 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 953 và 1|| Thời gian tách : 2022-06-11 11:31:22
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 953 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 952 và 1|| Thời gian tách : 2022-06-11 11:31:23
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 952 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 951 và 1|| Thời gian tách : 2022-06-11 11:31:25
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 951 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 950 và 1|| Thời gian tách : 2022-06-11 11:31:28
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 950 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 949 và 1|| Thời gian tách : 2022-06-11 11:31:30
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 949 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 948 và 1|| Thời gian tách : 2022-06-11 11:31:33
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 948 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 947 và 1|| Thời gian tách : 2022-06-11 11:31:35
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 947 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 946 và 1|| Thời gian tách : 2022-06-11 11:31:37
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 946 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 945 và 1|| Thời gian tách : 2022-06-11 11:31:40
