Name : trum49 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19780 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 19760 và 20|| Thời gian tách : 2022-06-07 02:42:28
Name : trum49 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19760 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 19740 và 20|| Thời gian tách : 2022-06-07 02:42:28
Name : trum49 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19740 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 19720 và 20|| Thời gian tách : 2022-06-07 02:42:28
Name : trum49 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19720 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 19700 và 20|| Thời gian tách : 2022-06-07 02:42:28
Name : trum49 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19700 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 19680 và 20|| Thời gian tách : 2022-06-07 02:42:28
Name : c1botxusv2 đã tách vật phẩm || Vật phẩm tách: 436 || Số lượng vật phẩm ban đầu 2000 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 1500 và 500|| Thời gian tách : 2022-06-07 02:43:07
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3419 || Số lượng tách: 26 || Số lượng vật phẩm sau khi tách: 3393 và 26|| Thời gian tách : 2022-06-07 02:44:29
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3393 || Số lượng tách: 26 || Số lượng vật phẩm sau khi tách: 3367 và 26|| Thời gian tách : 2022-06-07 02:46:18
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3367 || Số lượng tách: 26 || Số lượng vật phẩm sau khi tách: 3341 và 26|| Thời gian tách : 2022-06-07 02:46:20
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3341 || Số lượng tách: 26 || Số lượng vật phẩm sau khi tách: 3315 và 26|| Thời gian tách : 2022-06-07 02:46:21
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3315 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 3295 và 20|| Thời gian tách : 2022-06-07 02:48:23
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3295 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 3275 và 20|| Thời gian tách : 2022-06-07 02:48:40
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3275 || Số lượng tách: 26 || Số lượng vật phẩm sau khi tách: 3249 và 26|| Thời gian tách : 2022-06-07 02:48:43
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3249 || Số lượng tách: 26 || Số lượng vật phẩm sau khi tách: 3223 và 26|| Thời gian tách : 2022-06-07 02:49:37
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3223 || Số lượng tách: 25 || Số lượng vật phẩm sau khi tách: 3198 và 25|| Thời gian tách : 2022-06-07 02:53:20
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3198 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 3178 và 20|| Thời gian tách : 2022-06-07 02:54:02
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3178 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 3158 và 20|| Thời gian tách : 2022-06-07 02:54:04
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3158 || Số lượng tách: 25 || Số lượng vật phẩm sau khi tách: 3133 và 25|| Thời gian tách : 2022-06-07 02:54:37
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3133 || Số lượng tách: 28 || Số lượng vật phẩm sau khi tách: 3105 và 28|| Thời gian tách : 2022-06-07 02:55:09
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3105 || Số lượng tách: 30 || Số lượng vật phẩm sau khi tách: 3075 và 30|| Thời gian tách : 2022-06-07 02:55:16
Name : chaphetbonngu đã tách vật phẩm || Vật phẩm tách: 778 || Số lượng vật phẩm ban đầu 9999 || Số lượng tách: 300 || Số lượng vật phẩm sau khi tách: 9699 và 300|| Thời gian tách : 2022-06-07 03:01:24
Name : chaphetbonngu đã tách vật phẩm || Vật phẩm tách: 778 || Số lượng vật phẩm ban đầu 298 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 198 và 100|| Thời gian tách : 2022-06-07 03:01:34
Name : chaphetbonngu đã tách vật phẩm || Vật phẩm tách: 778 || Số lượng vật phẩm ban đầu 9837 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 9737 và 100|| Thời gian tách : 2022-06-07 03:01:53
Name : chaphetbonngu đã tách vật phẩm || Vật phẩm tách: 778 || Số lượng vật phẩm ban đầu 9737 || Số lượng tách: 300 || Số lượng vật phẩm sau khi tách: 9437 và 300|| Thời gian tách : 2022-06-07 03:02:09
Name : chaphetbonngu đã tách vật phẩm || Vật phẩm tách: 778 || Số lượng vật phẩm ban đầu 9453 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 9353 và 100|| Thời gian tách : 2022-06-07 03:02:56
Name : chaphetbonngu đã tách vật phẩm || Vật phẩm tách: 778 || Số lượng vật phẩm ban đầu 9453 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 9353 và 100|| Thời gian tách : 2022-06-07 03:03:03
Name : chaphetbonngu đã tách vật phẩm || Vật phẩm tách: 778 || Số lượng vật phẩm ban đầu 9353 || Số lượng tách: 300 || Số lượng vật phẩm sau khi tách: 9053 và 300|| Thời gian tách : 2022-06-07 03:03:30
Name : chaphetbonngu đã tách vật phẩm || Vật phẩm tách: 778 || Số lượng vật phẩm ban đầu 9053 || Số lượng tách: 300 || Số lượng vật phẩm sau khi tách: 8753 và 300|| Thời gian tách : 2022-06-07 03:05:11
Name : chaphetbonngu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 20000 || Số lượng tách: 30 || Số lượng vật phẩm sau khi tách: 19970 và 30|| Thời gian tách : 2022-06-07 03:13:33
Name : chaphetbonngu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 19970 || Số lượng tách: 30 || Số lượng vật phẩm sau khi tách: 19940 và 30|| Thời gian tách : 2022-06-07 03:13:36
Name : chaphetbonngu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 19940 || Số lượng tách: 30 || Số lượng vật phẩm sau khi tách: 19910 và 30|| Thời gian tách : 2022-06-07 03:13:37
Name : chaphetbonngu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 19910 || Số lượng tách: 30 || Số lượng vật phẩm sau khi tách: 19880 và 30|| Thời gian tách : 2022-06-07 03:13:39
Name : chaphetbonngu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 19880 || Số lượng tách: 30 || Số lượng vật phẩm sau khi tách: 19850 và 30|| Thời gian tách : 2022-06-07 03:13:41
Name : chaphetbonngu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 19850 || Số lượng tách: 30 || Số lượng vật phẩm sau khi tách: 19820 và 30|| Thời gian tách : 2022-06-07 03:13:43
Name : chaphetbonngu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 19820 || Số lượng tách: 30 || Số lượng vật phẩm sau khi tách: 19790 và 30|| Thời gian tách : 2022-06-07 03:13:46
Name : chaphetbonngu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 19790 || Số lượng tách: 30 || Số lượng vật phẩm sau khi tách: 19760 và 30|| Thời gian tách : 2022-06-07 03:13:48
Name : chaphetbonngu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 19760 || Số lượng tách: 30 || Số lượng vật phẩm sau khi tách: 19730 và 30|| Thời gian tách : 2022-06-07 03:13:50
Name : chaphetbonngu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 19730 || Số lượng tách: 30 || Số lượng vật phẩm sau khi tách: 19700 và 30|| Thời gian tách : 2022-06-07 03:14:29
Name : chaphetbonngu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 19700 || Số lượng tách: 30 || Số lượng vật phẩm sau khi tách: 19670 và 30|| Thời gian tách : 2022-06-07 03:14:31
Name : chaphetbonngu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 19670 || Số lượng tách: 30 || Số lượng vật phẩm sau khi tách: 19640 và 30|| Thời gian tách : 2022-06-07 03:14:33
Name : chaphetbonngu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 19640 || Số lượng tách: 30 || Số lượng vật phẩm sau khi tách: 19610 và 30|| Thời gian tách : 2022-06-07 03:15:42
Name : chaphetbonngu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 19610 || Số lượng tách: 30 || Số lượng vật phẩm sau khi tách: 19580 và 30|| Thời gian tách : 2022-06-07 03:15:46
Name : chaphetbonngu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 19580 || Số lượng tách: 30 || Số lượng vật phẩm sau khi tách: 19550 và 30|| Thời gian tách : 2022-06-07 03:15:49
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 1106 || Số lượng tách: 15 || Số lượng vật phẩm sau khi tách: 1091 và 15|| Thời gian tách : 2022-06-07 03:50:26
Name : tranvankiem đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 20000 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 19999 và 1|| Thời gian tách : 2022-06-07 04:53:22
